firstName,lastName,role
Chuck,Driver,Driver
Christie,Warner,Physician Resident
Granville,Hale,Physician Resident
Kelley,Lawson,Residents
Luke,Glenn,Residents
Mike,Rush,Lead
Michelle,Musser,Lead
Bret,Dudley,Student
Abby,Morales,Student
Guy,Cantrell,Student
Maryann,Tapia,Student
Jarvis,Hancock,Student
Malinda,Waller,Student
Mindy,Reed,Student
Alta,Avila,Student
Teresa,Melton,Student
Josefa,Maldonado,Student
Bonita,Lucas,Student
Claude,Roman,Student
Bridgett,Gonzales,Student
Stefanie,Lawrence,Student
Amanda,Morse,Student
Bettie,Edwards,Student
Kenya,Wilkins,Student
Lupe,Estes,Student
Efren,Braun,Student
Derek,Adkins,Student
Man,Harris,Student
Pablo,May,Student
Alan,Li,Student
Pablo,Mcclain,Student
Lena,Chung,Student
